ASN,NAME,type,EXAMPLE IP ADDRESS
AS396982,Google LLC,anycast,8.232.180.208
AS13335,"Cloudflare, Inc.",anycast,104.21.76.182
AS16509,"Amazon.com, Inc.",anycast,23.238.183.105
AS54113,"Fastly, Inc.",anycast,146.75.98.60
AS19551,Incapsula Inc,anycast,45.60.32.3
AS209242,"Cloudflare London, LLC",anycast,66.81.255.154
AS40509,"Fly.io, Inc.",anycast,137.66.35.27
AS15967,Nazwa.pl Sp.z.o.o.,anycast,77.55.162.204
AS139341,ACE,anycast,43.174.233.28
AS15169,Google LLC,anycast,35.219.206.176
AS207266,Identity Digital Limited,anycast,65.22.71.250
AS54994,Meteverse Limited.,anycast,101.79.220.115
AS202492,SILVERHILL GROUP HOLDING LTD,anycast,83.147.236.47
AS398787,"GoDaddy.com, LLC",anycast,160.153.138.235
AS12008,"Vercara, LLC",anycast,156.154.113.22
AS33905,Akamai International B.V.,anycast,23.206.58.118
AS394089,Google LLC,anycast,144.125.100.232
AS21342,Akamai International B.V.,anycast,23.59.248.200
AS400519,Developed Methods LLC,anycast,69.9.176.56
AS43247,YooMoney NBCO LLC,anycast,185.71.79.5
AS57724,DDOS-GUARD LTD,anycast,91.215.43.111
AS43519,Nominet UK,anycast,103.49.82.68
AS35280,F5 Networks SARL,anycast,185.56.152.49
AS51115,HLL LLC,anycast,178.248.237.118
AS205634,Prime Formation GmbH,anycast,144.124.219.207
AS12389,PJSC Rostelecom,bittorrent,5.136.80.229
AS4134,CHINANET BACKBONE,bittorrent,119.130.208.22
AS4766,Korea Telecom,bittorrent,220.78.171.32
AS45609,Bharti Airtel Ltd. AS for GPRS Service,bittorrent,223.188.86.160
AS9121,Turk Telekomunikasyon Anonim Sirketi,bittorrent,78.173.81.105
AS36947,Telecom Algeria,bittorrent,105.103.254.251
AS8151,UNINET,bittorrent,187.131.134.111
AS4837,CHINA UNICOM China169 Backbone,bittorrent,175.155.21.249
AS7922,"Comcast Cable Communications, LLC",bittorrent,98.60.187.134
AS8402,"PJSC ""Vimpelcom""",bittorrent,95.26.197.174
AS28573,Claro NXT Telecomunicacoes Ltda,bittorrent,177.34.45.164
AS16135,Turkcell A.S.,bittorrent,178.246.155.62
AS12714,PJSC MegaFon,bittorrent,109.63.206.180
AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,bittorrent,196.89.139.151
AS5384,Emirates Internet,bittorrent,31.219.98.228
AS22927,Telefonica de Argentina,bittorrent,181.24.166.203
AS8452,TE-AS,bittorrent,156.203.151.11
AS2856,British Telecommunications PLC,bittorrent,81.151.91.228
AS3462,Data Communication Business Group,bittorrent,114.24.33.80
AS5483,Magyar Telekom Plc.,bittorrent,84.0.54.17
AS5617,Orange Polska Spolka Akcyjna,bittorrent,83.1.198.127
AS12479,Orange Espagne SA,bittorrent,84.78.120.254
AS7303,Telecom Argentina S.A.,bittorrent,190.30.152.153
AS20978,TT Mobil Iletisim Hizmetleri A.S,bittorrent,5.177.163.150
AS5089,Virgin Media Limited,bittorrent,82.1.126.243
AS396982,Google LLC,cdn,34.120.3.0
AS16509,"Amazon.com, Inc.",cdn,75.2.119.0
AS13335,"Cloudflare, Inc.",cdn,103.54.129.0
AS54113,"Fastly, Inc.",cdn,167.82.67.0
AS19551,Incapsula Inc,cdn,45.223.51.0
AS16625,"Akamai Technologies, Inc.",cdn,92.122.14.0
AS209242,"Cloudflare London, LLC",cdn,103.11.212.0
AS40509,"Fly.io, Inc.",cdn,149.248.204.0
AS15967,Nazwa.pl Sp.z.o.o.,cdn,85.128.247.0
AS15169,Google LLC,cdn,72.14.248.0
AS139341,ACE,cdn,43.169.26.0
AS54994,Meteverse Limited.,cdn,101.79.220.0
AS202492,SILVERHILL GROUP HOLDING LTD,cdn,178.253.19.0
AS398787,"GoDaddy.com, LLC",cdn,45.40.149.0
AS14618,"Amazon.com, Inc.",cdn,16.15.252.0
AS33905,Akamai International B.V.,cdn,23.11.41.0
AS394089,Google LLC,cdn,165.85.253.0
AS16276,OVH SAS,cdn,5.135.23.0
AS22612,"Namecheap, Inc.",cdn,66.29.153.0
AS24940,Hetzner Online GmbH,cdn,213.133.104.0
AS35280,F5 Networks SARL,cdn,159.60.146.0
AS8560,IONOS SE,cdn,217.160.233.0
AS31898,Oracle Corporation,cdn,69.6.249.0
AS63949,Akamai Connected Cloud,cdn,172.234.212.0
AS57724,DDOS-GUARD LTD,cdn,45.155.60.0
AS16509,"Amazon.com, Inc.",cloud,99.77.139.0
AS8075,Microsoft Corporation,cloud,52.108.226.0
AS14618,"Amazon.com, Inc.",cloud,18.208.0.0
AS396982,Google LLC,cloud,34.157.176.0
AS37963,"Hangzhou Alibaba Advertising Co.,Ltd.",cloud,8.157.0.0
AS45102,"Alibaba (US) Technology Co., Ltd.",cloud,43.120.0.0
AS14061,"DigitalOcean, LLC",cloud,24.199.96.0
AS31898,Oracle Corporation,cloud,140.204.112.128
AS63949,Akamai Connected Cloud,cloud,66.228.47.0
AS8987,Amazon Data Services Ireland Ltd,cloud,52.46.224.0
AS20473,"The Constant Company, LLC",cloud,104.238.184.0
AS58593,"Shanghai Blue Cloud Technology Co.,Ltd",cloud,42.159.34.64
AS8070,Microsoft Corporation,cloud,20.35.220.128
AS55960,Beijing Guanghuan Xinwang Digital,cloud,54.222.90.0
AS43515,Google Ireland Limited,cloud,34.3.76.0
AS15169,Google LLC,cloud,35.207.128.0
AS135629,Ningxia West Cloud Data Technology Co.Ltd.,cloud,52.82.0.0
AS19527,Google LLC,cloud,34.0.64.0
AS8069,Microsoft Corporation,cloud,20.153.194.0
AS200350,Yandex.Cloud LLC,cloud,84.201.128.0
AS24429,"Zhejiang Taobao Network Co.,Ltd",cloud,163.181.52.0
